State,District,Latitude,Longitude,District code,Population,Households_with_Internet,sex_ratio,literacy_rate
Himachal Pradesh,Kullu,31.90911922,77.40922649,26,437903,2623,94,70
Himachal Pradesh,Mandi,31.63580594,76.96556931,27,999777,5333,101,72
Himachal Pradesh,Shimla,31.15572545,77.62573042,33,814010,9177,92,75
Himachal Pradesh,Sirmaur,30.68276445,77.4318469,32,529855,2220,92,68
Himachal Pradesh,Solan,31.03864312,76.94442141,31,580320,5250,88,74
Himachal Pradesh,Una,31.58330388,76.18353932,29,521173,2412,98,77
Jammu and Kashmir,Doda,33.35961468,76.0716372,16,409936,596,92,53
Jammu and Kashmir,Jammu,32.7131991,74.84775204,21,1529958,19905,88,74
Jammu and Kashmir,Kargil,33.56599489,76.63675315,4,140802,235,81,61
Jammu and Kashmir,Kathua,32.51781678,75.58901399,7,616435,1443,89,63
Jammu and Kashmir,Pulwama,33.88414419,75.0092186,12,560440,1537,91,52
Jammu and Kashmir,Punch,33.79124129,74.29593161,5,476835,346,89,55
Jammu and Kashmir,Srinagar,34.27312899,75.11021159,10,1236829,16413,90,61
Jammu and Kashmir,Udhampur,33.04770671,75.15286951,19,554985,1214,87,58
Jharkhand,Bokaro,23.6814965,85.98398374,355,2062330,9754,92,62
Jharkhand,Chatra,24.11619946,84.93295805,347,1042886,590,95,49
Jharkhand,Deoghar,24.33070101,86.75697632,350,1492073,1944,93,53
Jharkhand,Dhanbad,23.85450909,86.40372925,354,2684487,11568,91,64
Jharkhand,Dumka,24.27500613,87.2766245,362,1321442,1193,98,51
Jharkhand,Garhwa,24.08211469,83.68664266,346,1322784,565,94,49
Jharkhand,Giridih,24.3057851,86.08710916,349,2445474,1944,94,51
Jharkhand,Godda,24.8189,87.29417355,351,1313551,874,94,46
Jharkhand,Gumla,23.07853295,84.55056787,366,1025213,831,99,55
Jharkhand,Jamtara,23.97873318,86.9532508,363,791042,808,95,54
Jharkhand,Latehar,23.72511186,84.48298743,359,726978,340,97,48
Jharkhand,Lohardaga,23.48879604,84.66051691,356,461790,351,99,56
Jharkhand,Pakur,24.57260428,87.69691969,353,900422,328,99,39
Jharkhand,Palamu,24.19692597,84.20310843,358,1939869,2155,93,53
Jharkhand,Ranchi,23.18423506,85.31781937,364,2914253,22538,95,66
Jharkhand,Sahibganj,24.9366799,87.68264098,352,1150567,591,95,42
Jharkhand,Simdega,22.60876039,84.59193692,367,599578,423,100,57
Karnataka,Bagalkot,16.15860676,75.64526071,556,1889752,3745,99,59
Karnataka,Bangalore Rural,12.93682709,77.47369315,583,990923,3729,95,70
Karnataka,Belgaum,16.16107219,74.72329042,555,4779661,17560,97,64
Karnataka,Bellary,15.07437755,76.47228471,565,2452595,9626,98,58
Karnataka,Bidar,17.95036173,77.19459962,558,1703300,3971,96,61
Karnataka,Bijapur,16.84015317,75.95909167,417,255230,117,98,34
Karnataka,Bijapur,16.84015317,75.95909167,557,2177331,4987,96,57
Karnataka,Chikmagalur,13.42528829,75.67626502,570,1137961,4510,101,72
Karnataka,Chitradurga,14.2910222,76.57821957,566,1659456,5711,97,66
Karnataka,Davanagere,14.33041459,75.91723841,567,1945497,7320,97,67
Karnataka,Dharwad,15.34383138,75.13831264,562,1847023,15013,97,70
Karnataka,Gadag,15.50712826,75.64861303,561,1064570,3373,98,66
Karnataka,Gulbarga,17.07045952,76.8750385,579,2566326,9752,97,56
Karnataka,Hassan,12.94509875,76.1104955,574,1776421,4851,101,69
Karnataka,Haveri,14.73758281,75.39612306,564,1597668,2456,95,68
Karnataka,Kodagu,12.39684468,75.79336596,576,554519,3308,102,74
Karnataka,Kolar,13.31279988,78.01376948,581,1536401,5051,98,66
Karnataka,Koppal,15.65125327,76.16170486,560,1389920,2135,99,58
Karnataka,Mandya,12.57490181,76.81570099,573,1805769,3367,100,64
Karnataka,Mysore,12.24810026,76.52881803,577,3001127,28397,99,65
Karnataka,Raichur,16.05079535,76.87368606,559,1928812,5200,100,51
Karnataka,Shimoga,14.06384589,75.17882078,568,1752753,8791,100,72
Karnataka,Tumkur,13.59246776,77.02297966,571,2678980,7971,98,68
Karnataka,Udupi,13.45040423,74.7200999,569,1177361,9070,109,79
Kerala,Alappuzha,9.542602966,76.38010796,598,2127789,28842,110,87
Kerala,Ernakulam,10.0048793,76.26957729,595,3282388,88737,103,87
Kerala,Idukki,9.804809639,77.04586642,596,1108974,8250,101,83
Kerala,Kannur,11.94152308,75.35209892,589,2523003,32653,114,85
Kerala,Kasaragod,12.3331031,75.07768497,588,1307375,10378,108,79
Kerala,Kollam,8.929388821,76.63607759,600,2635375,31542,111,85
Kerala,Kottayam,9.643701174,76.46059673,597,1974551,37849,104,89
Kerala,Kozhikode,11.39292427,75.7115872,591,3086293,36791,110,85
Kerala,Malappuram,10.97329876,75.93910776,592,4112920,27909,110,81
Kerala,Palakkad,10.7849269,76.49980491,593,2809934,27162,107,80
Kerala,Thiruvananthapuram,8.537101759,76.88711503,601,3301427,71621,109,84
Kerala,Thrissur,10.45893265,76.12321941,594,3121200,56148,111,86
Kerala,Wayanad,11.71527746,76.07587007,590,817420,4712,103,79
Madhya Pradesh,Anuppur,23.1818422,81.8656,461,749237,1290,98,58
Madhya Pradesh,Ashoknagar,24.63098846,77.82974494,459,845071,619,90,56
Madhya Pradesh,Balaghat,21.80020721,80.42170053,457,1701698,1712,102,67
Madhya Pradesh,Barwani,21.70213571,74.9100472,441,1385881,1158,98,40
Madhya Pradesh,Betul,21.96462632,77.78734282,447,1575362,2109,97,60
Madhya Pradesh,Bhind,26.35951126,78.76183243,420,1703005,1166,84,64
Madhya Pradesh,Bhopal,23.48072614,77.39246623,444,2371061,40788,92,70
Madhya Pradesh,Burhanpur,21.36456725,76.24460479,467,757847,986,95,54
Madhya Pradesh,Chhatarpur,24.81363738,79.56449299,425,1762375,1880,88,54
Madhya Pradesh,Chhindwara,22.22796697,78.76413136,455,2090922,3588,96,62
Madhya Pradesh,Damoh,23.76624408,79.47049303,428,1264219,1432,91,59
Madhya Pradesh,Datia,25.9022644,78.63916571,422,786754,616,87,62
Madhya Pradesh,Dewas,22.785111,76.46088806,437,1563715,3518,94,59
Madhya Pradesh,Dhar,22.57268172,75.11056207,438,2185793,2388,96,49
Madhya Pradesh,Dindori,22.83738437,81.04332967,453,704524,554,100,54
Madhya Pradesh,Guna,24.49043927,77.2235896,458,1241519,2482,91,53
Madhya Pradesh,Gwalior,26.04074442,78.12782433,421,2032036,15779,86,67
Madhya Pradesh,Harda,22.22765978,77.07022572,448,570465,986,93,62
Madhya Pradesh,Hoshangabad,22.5952688,78.02168095,449,1241350,2871,91,65
Madhya Pradesh,Indore,22.68026575,75.91338013,439,3276697,48691,93,70
Madhya Pradesh,Jabalpur,23.18525572,79.98328755,451,2463289,20443,93,71
Madhya Pradesh,Jhabua,22.41957802,74.40921617,464,1025048,744,99,34
Madhya Pradesh,Katni,23.72441623,80.33819666,450,1292042,2179,95,61
Madhya Pradesh,Mandla,22.70348712,80.38600544,454,1054905,912,101,57
Madhya Pradesh,Mandsaur,24.19278764,75.43588668,433,1340411,2324,96,62
Madhya Pradesh,Morena,26.37313505,77.88447341,419,1965970,1781,84,60
Madhya Pradesh,Neemuch,24.70311893,75.06608187,432,826067,1945,95,62
Madhya Pradesh,Panna,24.45132584,80.21133001,426,1016520,653,91,54
Madhya Pradesh,Raisen,23.29251821,78.16305496,446,1331597,1141,90,62
Madhya Pradesh,Rajgarh,23.78549903,76.66431224,442,1545814,1611,96,52
Madhya Pradesh,Ratlam,23.50356229,75.14895782,434,1455069,3644,97,57
Madhya Pradesh,Rewa,24.86118463,81.57572465,430,2365106,3406,93,61
Madhya Pradesh,Sagar,23.80031871,78.71940358,427,2378458,4546,89,65
Madhya Pradesh,Satna,24.62777622,80.75547049,429,2228935,3754,93,62
Madhya Pradesh,Sehore,22.92971997,77.06780203,445,1311332,1566,92,60
Madhya Pradesh,Seoni,22.33230488,79.66053864,456,1379131,1182,98,63
Madhya Pradesh,Shahdol,23.44859865,81.45968318,460,1066063,1733,97,57
Madhya Pradesh,Shajapur,23.56662032,76.33555181,436,1512681,1382,94,59
Madhya Pradesh,Sheopur,25.78014811,77.16911117,418,687861,273,90,48
Madhya Pradesh,Shivpuri,25.37802452,77.74861601,423,1726050,1852,88,52
Madhya Pradesh,Sidhi,24.1754719,82.10537834,462,1127033,837,96,53
Madhya Pradesh,Tikamgarh,25.14099852,78.89357065,424,1445166,1090,90,52
Madhya Pradesh,Ujjain,23.31928886,75.80383718,435,1986864,7501,96,62
Madhya Pradesh,Umaria,23.59601063,80.90879477,431,644758,839,95,55
Madhya Pradesh,Vidisha,23.82838308,77.90135076,443,1458875,1926,90,59
Maharashtra,Akola,20.74631048,77.1212232,501,1813906,6163,95,78
Maharashtra,Amravati,21.16520992,77.67583503,503,2888445,9438,95,78
Maharashtra,Bhandara,21.21179265,80.109502,506,1200334,2932,98,75
Maharashtra,Bid,18.95235334,75.69319706,523,2585049,5614,92,66
Maharashtra,Buldana,20.56680611,76.3901788,500,2586258,4767,93,73
Maharashtra,Chandrapur,20.09560909,79.3155638,509,2204307,8239,96,72
Maharashtra,Dhule,21.27401869,74.58719072,498,2050862,6065,95,63
Maharashtra,Gondiya,21.22500841,80.17522699,507,1322507,2866,100,76
Maharashtra,Hingoli,19.59525302,77.09239413,512,1177345,1221,94,67
Maharashtra,Jalgaon,20.88289434,75.55140422,499,4229917,14297,92,68
Maharashtra,Jalna,19.98461253,75.98473607,514,1959046,3791,94,61
Maharashtra,Kolhapur,16.44881302,74.12897151,530,3876001,22269,96,73
Maharashtra,Latur,18.34868727,76.75812608,524,2454196,6217,93,67
Maharashtra,Nagpur,21.19655686,79.02166176,505,4653570,57964,95,79
Maharashtra,Nanded,19.20931698,77.6829049,511,3361292,7548,94,65
Maharashtra,Nandurbar,21.52317563,74.32638757,497,1648295,2579,98,55
Maharashtra,Nashik,20.26691287,74.03824168,516,6107187,45039,93,71
Maharashtra,Osmanabad,18.19459456,75.99495575,525,1657576,3209,92,69
Maharashtra,Parbhani,19.31032425,76.70163339,513,1836086,3982,95,63
Maharashtra,Pune,18.51696171,74.12922882,521,9429408,235018,91,76
Maharashtra,Ratnagiri,17.21019507,73.25725894,528,1615069,7752,112,74
Maharashtra,Sangli,17.15493018,74.70713823,531,2822143,13212,97,73
Maharashtra,Satara,17.6737909,74.18052064,527,3003741,14093,99,74
Maharashtra,Sindhudurg,16.17094805,73.51329008,529,849651,3517,104,78
Maharashtra,Solapur,17.83735794,75.42394824,526,4317756,15145,94,67
Maharashtra,Thane,19.69876775,72.79882743,517,11060148,256170,89,74
Maharashtra,Wardha,20.80743024,78.57259106,504,1300774,4313,95,78
Maharashtra,Washim,20.28228239,77.25502394,502,1197160,1875,93,73
Maharashtra,Yavatmal,20.04258347,78.05326372,510,2772348,6094,95,73
Manipur,Bishnupur,24.50712112,93.8246236,275,237399,676,100,66
Manipur,Chandel,24.2635813,94.09443844,280,144182,184,93,63
Manipur,Churachandpur,24.30309719,93.38671506,274,274143,837,97,71
Manipur,Senapati,25.08465586,94.03366234,272,479148,256,94,55
Manipur,Tamenglong,24.98312942,93.4945074,273,140651,125,94,60
Manipur,Thoubal,24.54539255,93.97959894,276,422168,880,100,64
Manipur,Ukhrul,25.05900315,94.44129567,279,183998,276,94,71
Meghalaya,East Garo Hills,25.82728228,90.64684925,294,317917,288,97,60
Meghalaya,East Khasi Hills,25.30376389,91.7592252,298,825922,5032,101,70
Meghalaya,Jaintia Hills,25.33959557,92.3760816,299,395124,510,101,47
Meghalaya,South Garo Hills,25.24056858,90.64560349,295,142334,179,95,58
Meghalaya,West Garo Hills,25.49528519,90.03709947,293,643291,1630,98,56
Meghalaya,West Khasi Hills,25.50088993,91.25364542,296,383461,149,98,60
Mizoram,Aizawl,23.90781335,92.85359459,283,400309,4019,101,85
Mizoram,Champhai,23.54166581,93.24221799,284,125745,186,98,80
Mizoram,Kolasib,24.20200043,92.73470391,282,83955,367,96,78
Mizoram,Lawngtlai,22.36102843,92.66964157,287,117894,162,95,53
Mizoram,Lunglei,23.00771704,92.63512555,286,161428,482,95,75
Mizoram,Mamit,23.73852943,92.43308038,281,86364,90,93,70
Mizoram,Saiha,22.35744801,93.02827931,288,56574,168,98,75
Mizoram,Serchhip,23.26386471,92.9141585,285,64937,131,98,84
Nagaland,Dimapur,25.81417681,93.75074058,265,378811,3303,92,73
Nagaland,Kohima,25.60311429,93.78600658,270,267988,1928,93,74
Nagaland,Mokokchung,26.47891176,94.52242601,262,194622,537,93,82
Nagaland,Mon,26.69207374,95.03072989,261,250260,178,90,48
Nagaland,Phek,25.63272987,94.56814564,266,163418,170,95,65
Nagaland,Tuensang,26.21104453,94.85809881,267,196596,155,93,60
Nagaland,Wokha,26.20261155,94.19908152,264,166343,198,97,77
Nagaland,Zunheboto,26.02817821,94.50026667,263,140757,261,98,73
Orissa,Baleshwar,21.48570932,87.08085828,377,2320529,7370,96,70
Orissa,Bhadrak,20.95262735,86.81496205,378,1506337,2637,98,73
Orissa,Cuttack,20.40764065,85.77768102,381,2624470,15046,94,77
Orissa,Dhenkanal,20.79887159,85.53226836,383,1192811,1810,95,70
Orissa,Gajapati,19.12108088,84.14015092,389,577817,635,104,45
Orissa,Ganjam,19.26326176,84.8029771,388,3529031,9049,98,63
Orissa,Jharsuguda,21.82705857,83.93581682,371,579505,2498,95,70
Orissa,Kalahandi,19.78425309,83.11240438,395,1576869,1953,100,51
Orissa,Kandhamal,20.09287862,84.02216353,390,733110,768,104,55
Orissa,Kendrapara,20.60631982,86.83763248,379,1440361,1628,101,76
Orissa,Khordha,20.05416232,85.52234834,386,2251673,35701,93,78
Orissa,Koraput,18.82627795,82.8127847,398,1379647,3988,103,41
Orissa,Malkangiri,18.2522793,81.98293636,399,613192,448,102,40
Orissa,Mayurbhanj,21.89762155,86.40304081,376,2519738,2950,101,54
Orissa,Nayagarh,20.19289562,85.056147,385,962789,1163,92,71
Orissa,Nuapada,20.47130951,82.59152537,394,610382,757,102,49
Orissa,Puri,19.83509175,85.8669899,387,1698730,3416,96,76
Orissa,Rayagada,19.29284002,83.4586012,396,967911,1553,105,42
Orissa,Sambalpur,21.51575238,84.34958483,372,1041099,5231,98,68
Orissa,Sundargarh,22.06354819,84.50524819,374,2093437,12787,97,64
Puducherry,Karaikal,10.87616173,79.82369794,637,200222,1868,105,77
Puducherry,Mahe,12.00642079,75.28275022,636,41816,574,118,87
Puducherry,Yanam,16.70769565,82.26187304,634,55626,207,104,71
Punjab,Amritsar,31.54867982,74.79883857,49,2490656,29961,89,68
Punjab,Bathinda,30.19052461,75.05685898,46,1388525,11284,87,61
Punjab,Faridkot,30.59118725,74.79751554,45,617508,4348,89,62
Punjab,Fatehgarh Sahib,30.64290947,76.36208395,40,600163,5138,87,71
Punjab,Firozpur,30.63407535,74.40245732,43,2029074,10042,89,60
Punjab,Gurdaspur,32.04283371,75.32040644,35,2298323,14428,90,71
Punjab,Hoshiarpur,31.5515717,75.84698574,38,1586625,13747,96,76
Punjab,Jalandhar,31.25033691,75.54400351,37,2193590,39082,92,74
Punjab,Kapurthala,31.33659264,75.47641166,36,815168,9732,91,71
Punjab,Ludhiana,30.76596397,75.83110852,41,3498739,58589,87,73
Punjab,Mansa,29.91954771,75.43049229,47,769751,2673,88,55
Punjab,Moga,30.75654007,75.16008451,42,995746,7897,89,63
Punjab,Muktsar,30.31243303,74.55187477,44,901896,4571,90,58
Punjab,Patiala,30.21454038,76.27505894,48,1895686,24274,89,67
Punjab,Rupnagar,30.91093733,76.53743501,51,684627,6600,92,73
